,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Top5Budget
53,1995-96,1/10/1995,Vallecano,Valencia,3,2,H,0,0,D,False
54,1995-96,1/10/1995,Zaragoza,Compostela,1,0,H,1,0,H,False
55,1995-96,4/10/1995,Albacete,Valladolid,4,2,H,2,1,H,False
56,1995-96,4/10/1995,Barcelona,Oviedo,4,1,H,3,0,H,True
57,1995-96,4/10/1995,Betis,Ath Bilbao,0,0,D,0,0,D,False
58,1995-96,4/10/1995,Compostela,Vallecano,1,0,H,1,0,H,False
59,1995-96,4/10/1995,Salamanca,Zaragoza,0,1,A,0,1,A,False
60,1995-96,4/10/1995,Santander,Celta,2,1,H,1,1,D,False
61,1995-96,4/10/1995,Sociedad,La Coruna,2,1,H,1,1,D,False
62,1995-96,4/10/1995,Sp Gijon,Sevilla,3,1,H,1,1,D,False
63,1995-96,4/10/1995,Tenerife,Merida,1,0,H,1,0,H,False
64,1995-96,4/10/1995,Valencia,Real Madrid,4,3,H,3,0,H,True
65,1995-96,5/10/1995,Ath Madrid,Espanol,2,1,H,1,1,D,True
66,1995-96,7/10/1995,Betis,Barcelona,1,5,A,0,2,A,False
67,1995-96,8/10/1995,Ath Bilbao,Sevilla,1,1,D,0,0,D,False
68,1995-96,8/10/1995,Celta,Ath Madrid,0,3,A,0,1,A,False
69,1995-96,8/10/1995,Espanol,Sp Gijon,0,0,D,0,0,D,False
70,1995-96,8/10/1995,La Coruna,Santander,2,3,A,0,1,A,False
71,1995-96,8/10/1995,Merida,Albacete,1,1,D,0,0,D,False
72,1995-96,8/10/1995,Oviedo,Valencia,0,1,A,0,0,D,False
73,1995-96,8/10/1995,Real Madrid,Compostela,2,1,H,2,1,H,True
74,1995-96,8/10/1995,Valladolid,Sociedad,3,0,H,0,0,D,False
75,1995-96,8/10/1995,Vallecano,Salamanca,1,4,A,0,0,D,False
76,1995-96,8/10/1995,Zaragoza,Tenerife,0,2,A,0,0,D,False
77,1995-96,14/10/1995,Ath Madrid,La Coruna,1,0,H,1,0,H,True
78,1995-96,14/10/1995,Barcelona,Ath Bilbao,4,1,H,1,0,H,True
79,1995-96,14/10/1995,Sevilla,Espanol,0,3,A,0,2,A,True
80,1995-96,14/10/1995,Valencia,Betis,1,1,D,1,1,D,True
81,1995-96,15/10/1995,Albacete,Zaragoza,0,1,A,0,0,D,False
82,1995-96,15/10/1995,Compostela,Oviedo,4,1,H,2,1,H,False
83,1995-96,15/10/1995,Salamanca,Real Madrid,0,2,A,0,1,A,False
84,1995-96,15/10/1995,Santander,Valladolid,0,0,D,0,0,D,False
85,1995-96,15/10/1995,Sociedad,Merida,1,2,A,0,1,A,False
86,1995-96,15/10/1995,Sp Gijon,Celta,1,0,H,0,0,D,False
87,1995-96,15/10/1995,Tenerife,Vallecano,2,2,D,0,0,D,False
88,1995-96,21/10/1995,Valladolid,Ath Madrid,0,1,A,0,0,D,False
89,1995-96,22/10/1995,Ath Bilbao,Espanol,0,0,D,0,0,D,False
90,1995-96,22/10/1995,Barcelona,Valencia,1,0,H,0,0,D,True
91,1995-96,22/10/1995,Betis,Compostela,5,0,H,2,0,H,False
92,1995-96,22/10/1995,Celta,Sevilla,4,0,H,1,0,H,False
93,1995-96,22/10/1995,La Coruna,Sp Gijon,1,0,H,1,0,H,False
94,1995-96,22/10/1995,Merida,Santander,3,1,H,3,1,H,False
95,1995-96,22/10/1995,Oviedo,Salamanca,2,2,D,1,0,H,False
96,1995-96,22/10/1995,Real Madrid,Tenerife,2,0,H,1,0,H,True
97,1995-96,22/10/1995,Vallecano,Albacete,2,0,H,0,0,D,False
98,1995-96,22/10/1995,Zaragoza,Sociedad,1,2,A,0,1,A,False
99,1995-96,28/10/1995,Albacete,Real Madrid,1,1,D,0,1,A,False
100,1995-96,28/10/1995,Compostela,Barcelona,2,1,H,0,1,A,False
101,1995-96,28/10/1995,Sevilla,La Coruna,0,0,D,0,0,D,True
102,1995-96,29/10/1995,Ath Madrid,Merida,1,1,D,0,1,A,True
103,1995-96,29/10/1995,Espanol,Celta,2,2,D,1,0,H,False
104,1995-96,29/10/1995,Salamanca,Betis,2,1,H,1,1,D,False
105,1995-96,29/10/1995,Santander,Zaragoza,0,0,D,0,0,D,False
106,1995-96,29/10/1995,Sociedad,Vallecano,2,1,H,1,0,H,False
107,1995-96,29/10/1995,Sp Gijon,Valladolid,4,2,H,1,2,A,False
108,1995-96,29/10/1995,Tenerife,Oviedo,3,3,D,1,0,H,False
109,1995-96,29/10/1995,Valencia,Ath Bilbao,3,1,H,2,0,H,True
110,1995-96,4/11/1995,Real Madrid,Sociedad,3,2,H,1,0,H,True
111,1995-96,5/11/1995,Ath Bilbao,Celta,3,0,H,2,0,H,False
112,1995-96,5/11/1995,Barcelona,Salamanca,4,1,H,3,0,H,True
113,1995-96,5/11/1995,Betis,Tenerife,3,3,D,2,1,H,False
114,1995-96,5/11/1995,La Coruna,Espanol,0,1,A,0,0,D,False
115,1995-96,5/11/1995,Merida,Sp Gijon,1,0,H,1,0,H,False
116,1995-96,5/11/1995,Oviedo,Albacete,1,0,H,0,0,D,False
117,1995-96,5/11/1995,Valencia,Compostela,5,2,H,2,1,H,True
118,1995-96,5/11/1995,Valladolid,Sevilla,3,3,D,2,2,D,False
119,1995-96,5/11/1995,Vallecano,Santander,1,2,A,0,1,A,False
120,1995-96,5/11/1995,Zaragoza,Ath Madrid,0,1,A,0,0,D,False
121,1995-96,11/11/1995,Celta,La Coruna,0,0,D,0,0,D,False
122,1995-96,12/11/1995,Albacete,Betis,0,0,D,0,0,D,False
123,1995-96,12/11/1995,Ath Madrid,Vallecano,0,0,D,0,0,D,True
124,1995-96,12/11/1995,Compostela,Ath Bilbao,2,1,H,0,1,A,False
125,1995-96,12/11/1995,Espanol,Valladolid,2,0,H,2,0,H,False
126,1995-96,12/11/1995,Salamanca,Valencia,4,0,H,2,0,H,False
127,1995-96,12/11/1995,Santander,Real Madrid,2,0,H,2,0,H,False
128,1995-96,12/11/1995,Sevilla,Merida,3,0,H,1,0,H,True
129,1995-96,12/11/1995,Sociedad,Oviedo,1,1,D,1,0,H,False
130,1995-96,12/11/1995,Sp Gijon,Zaragoza,4,1,H,3,0,H,False
131,1995-96,12/11/1995,Tenerife,Barcelona,1,1,D,0,1,A,False
132,1995-96,18/11/1995,Barcelona,Albacete,3,0,H,1,0,H,True
133,1995-96,18/11/1995,Betis,Sociedad,3,1,H,1,0,H,False
134,1995-96,18/11/1995,Real Madrid,Ath Madrid,1,0,H,1,0,H,True
135,1995-96,18/11/1995,Zaragoza,Sevilla,0,1,A,0,0,D,False
136,1995-96,19/11/1995,Ath Bilbao,La Coruna,1,0,H,,,,False
137,1995-96,19/11/1995,Compostela,Salamanca,0,0,D,0,0,D,False
138,1995-96,19/11/1995,Merida,Espanol,0,1,A,0,0,D,False
139,1995-96,19/11/1995,Oviedo,Santander,2,1,H,0,1,A,False
140,1995-96,19/11/1995,Valencia,Tenerife,2,2,D,0,1,A,True
141,1995-96,19/11/1995,Valladolid,Celta,1,1,D,0,0,D,False
142,1995-96,19/11/1995,Vallecano,Sp Gijon,2,0,H,1,0,H,False
143,1995-96,25/11/1995,Sociedad,Barcelona,1,1,D,0,1,A,False
144,1995-96,26/11/1995,Albacete,Valencia,1,3,A,0,1,A,False
145,1995-96,26/11/1995,Ath Madrid,Oviedo,3,0,H,1,0,H,True
146,1995-96,26/11/1995,Celta,Merida,2,0,H,1,0,H,False
147,1995-96,26/11/1995,Espanol,Zaragoza,1,1,D,0,1,A,False
148,1995-96,26/11/1995,La Coruna,Valladolid,3,1,H,1,0,H,False
149,1995-96,26/11/1995,Salamanca,Ath Bilbao,2,1,H,1,0,H,False
150,1995-96,26/11/1995,Santander,Betis,0,0,D,0,0,D,False
151,1995-96,26/11/1995,Sevilla,Vallecano,1,0,H,0,0,D,True
152,1995-96,26/11/1995,Sp Gijon,Real Madrid,0,0,D,0,0,D,False
153,1995-96,26/11/1995,Tenerife,Compostela,1,1,D,0,1,A,False
154,1995-96,2/12/1995,Barcelona,Santander,1,1,D,1,1,D,True
155,1995-96,2/12/1995,Real Madrid,Sevilla,4,1,H,3,0,H,True
156,1995-96,2/12/1995,Vallecano,Espanol,1,0,H,1,0,H,False
157,1995-96,3/12/1995,Ath Bilbao,Valladolid,2,1,H,1,1,D,False
158,1995-96,3/12/1995,Betis,Ath Madrid,2,1,H,2,1,H,False
159,1995-96,3/12/1995,Compostela,Albacete,3,1,H,2,0,H,False
160,1995-96,3/12/1995,Merida,La Coruna,0,2,A,0,1,A,False
161,1995-96,3/12/1995,Oviedo,Sp Gijon,1,0,H,0,0,D,False
162,1995-96,3/12/1995,Salamanca,Tenerife,1,2,A,1,1,D,False
163,1995-96,3/12/1995,Valencia,Sociedad,0,1,A,0,0,D,True
164,1995-96,3/12/1995,Zaragoza,Celta,0,0,D,0,0,D,False
165,1995-96,9/12/1995,Ath Madrid,Barcelona,3,1,H,2,0,H,True
166,1995-96,9/12/1995,Santander,Valencia,0,3,A,0,2,A,False
167,1995-96,10/12/1995,Albacete,Salamanca,3,3,D,1,1,D,False
168,1995-96,10/12/1995,Celta,Vallecano,2,0,H,1,0,H,False
169,1995-96,10/12/1995,Espanol,Real Madrid,3,1,H,1,0,H,False
170,1995-96,10/12/1995,La Coruna,Zaragoza,2,3,A,1,2,A,False
171,1995-96,10/12/1995,Sevilla,Oviedo,1,1,D,0,1,A,True
172,1995-96,10/12/1995,Sociedad,Compostela,0,1,A,0,1,A,False
173,1995-96,10/12/1995,Sp Gijon,Betis,2,3,A,1,0,H,False
174,1995-96,10/12/1995,Tenerife,Ath Bilbao,3,2,H,2,1,H,False
175,1995-96,10/12/1995,Valladolid,Merida,1,1,D,1,1,D,False
176,1995-96,16/12/1995,Barcelona,Sp Gijon,1,0,H,1,0,H,True
177,1995-96,16/12/1995,Betis,Sevilla,1,1,D,0,0,D,False
178,1995-96,17/12/1995,Ath Bilbao,Merida,1,1,D,0,0,D,False
179,1995-96,17/12/1995,Compostela,Santander,2,0,H,0,0,D,False
180,1995-96,17/12/1995,Oviedo,Espanol,1,2,A,1,1,D,False
181,1995-96,17/12/1995,Real Madrid,Celta,1,0,H,1,0,H,True
182,1995-96,17/12/1995,Salamanca,Sociedad,3,3,D,3,1,H,False
183,1995-96,17/12/1995,Tenerife,Albacete,1,3,A,1,1,D,False
184,1995-96,17/12/1995,Valencia,Ath Madrid,0,1,A,0,0,D,True
185,1995-96,17/12/1995,Vallecano,La Coruna,0,6,A,0,3,A,False
186,1995-96,17/12/1995,Zaragoza,Valladolid,5,3,H,3,1,H,False
187,1995-96,20/12/1995,Albacete,Ath Bilbao,2,0,H,0,0,D,False
188,1995-96,20/12/1995,Ath Madrid,Compostela,3,0,H,1,0,H,True
189,1995-96,20/12/1995,Celta,Oviedo,1,0,H,0,0,D,False
190,1995-96,20/12/1995,Espanol,Betis,1,1,D,1,0,H,False
191,1995-96,20/12/1995,Merida,Zaragoza,1,1,D,1,0,H,False
192,1995-96,20/12/1995,Santander,Salamanca,2,1,H,1,1,D,False
193,1995-96,20/12/1995,Sevilla,Barcelona,1,0,H,1,0,H,True
194,1995-96,20/12/1995,Sociedad,Tenerife,0,1,A,0,0,D,False
195,1995-96,20/12/1995,Sp Gijon,Valencia,1,3,A,0,1,A,False
196,1995-96,20/12/1995,Valladolid,Vallecano,1,1,D,0,0,D,False
197,1995-96,21/12/1995,La Coruna,Real Madrid,3,0,H,3,0,H,False
198,1995-96,3/1/1996,Albacete,Sociedad,3,5,A,2,3,A,False
199,1995-96,3/1/1996,Ath Bilbao,Zaragoza,1,0,H,0,0,D,False
200,1995-96,3/1/1996,Betis,Celta,0,3,A,0,0,D,False
201,1995-96,3/1/1996,Compostela,Sp Gijon,1,0,H,1,0,H,False
202,1995-96,3/1/1996,Oviedo,La Coruna,0,2,A,0,0,D,False
203,1995-96,3/1/1996,Real Madrid,Valladolid,4,1,H,3,1,H,True
204,1995-96,3/1/1996,Salamanca,Ath Madrid,1,3,A,0,0,D,False
205,1995-96,3/1/1996,Tenerife,Santander,2,0,H,1,0,H,False
206,1995-96,3/1/1996,Valencia,Sevilla,1,0,H,0,0,D,True
207,1995-96,3/1/1996,Vallecano,Merida,4,1,H,3,0,H,False
208,1995-96,4/1/1996,Barcelona,Espanol,2,1,H,1,0,H,True
209,1995-96,6/1/1996,Ath Bilbao,Sociedad,0,0,D,0,0,D,False
210,1995-96,6/1/1996,Ath Madrid,Tenerife,3,1,H,1,0,H,True
211,1995-96,7/1/1996,Celta,Barcelona,1,0,H,0,0,D,False
212,1995-96,7/1/1996,Espanol,Valencia,2,0,H,1,0,H,False
213,1995-96,7/1/1996,La Coruna,Betis,0,0,D,0,0,D,False
214,1995-96,7/1/1996,Merida,Real Madrid,2,2,D,1,2,A,False
215,1995-96,7/1/1996,Santander,Albacete,5,5,D,2,2,D,False
216,1995-96,7/1/1996,Sevilla,Compostela,0,1,A,0,0,D,True
217,1995-96,7/1/1996,Sp Gijon,Salamanca,3,2,H,2,1,H,False
218,1995-96,7/1/1996,Valladolid,Oviedo,2,2,D,2,2,D,False
219,1995-96,7/1/1996,Zaragoza,Vallecano,1,1,D,1,0,H,False
220,1995-96,13/01/1996,Albacete,Ath Madrid,1,1,D,0,0,D,False
221,1995-96,13/01/1996,Betis,Valladolid,3,0,H,0,0,D,False
222,1995-96,14/01/1996,Barcelona,La Coruna,1,1,D,0,1,A,True
223,1995-96,14/01/1996,Compostela,Espanol,2,1,H,1,1,D,False
224,1995-96,14/01/1996,Oviedo,Merida,0,0,D,0,0,D,False
225,1995-96,14/01/1996,Real Madrid,Zaragoza,2,2,D,0,1,A,True
226,1995-96,14/01/1996,Salamanca,Sevilla,4,1,H,2,0,H,False
227,1995-96,14/01/1996,Sociedad,Santander,2,1,H,1,0,H,False
228,1995-96,14/01/1996,Tenerife,Sp Gijon,3,0,H,1,0,H,False
229,1995-96,14/01/1996,Valencia,Celta,3,0,H,1,0,H,True
230,1995-96,14/01/1996,Vallecano,Ath Bilbao,2,2,D,0,1,A,False
231,1995-96,20/01/1996,Valencia,La Coruna,2,1,H,0,1,A,True
232,1995-96,21/01/1996,Albacete,Sp Gijon,1,3,A,1,2,A,False
233,1995-96,21/01/1996,Barcelona,Valladolid,1,0,H,0,0,D,True
234,1995-96,21/01/1996,Betis,Merida,0,1,A,0,0,D,False
235,1995-96,21/01/1996,Compostela,Celta,1,1,D,1,1,D,False
236,1995-96,21/01/1996,Oviedo,Zaragoza,1,1,D,1,1,D,False
237,1995-96,21/01/1996,Real Madrid,Vallecano,1,2,A,1,1,D,True
238,1995-96,21/01/1996,Salamanca,Espanol,2,2,D,1,0,H,False
239,1995-96,21/01/1996,Santander,Ath Bilbao,1,1,D,1,0,H,False
240,1995-96,21/01/1996,Sociedad,Ath Madrid,1,0,H,1,0,H,False
241,1995-96,21/01/1996,Tenerife,Sevilla,4,2,H,2,0,H,False
242,1995-96,24/01/1996,Ath Bilbao,Real Madrid,0,5,A,0,1,A,False
243,1995-96,24/01/1996,Ath Madrid,Santander,2,0,H,1,0,H,True
244,1995-96,24/01/1996,Celta,Salamanca,2,1,H,2,1,H,False
245,1995-96,24/01/1996,Espanol,Tenerife,2,1,H,0,1,A,False
246,1995-96,24/01/1996,La Coruna,Compostela,2,0,H,1,0,H,False
247,1995-96,24/01/1996,Sevilla,Albacete,1,1,D,1,0,H,True
248,1995-96,24/01/1996,Sp Gijon,Sociedad,1,1,D,0,1,A,False
249,1995-96,24/01/1996,Valladolid,Valencia,2,5,A,0,3,A,False
250,1995-96,24/01/1996,Vallecano,Oviedo,1,2,A,0,1,A,False
251,1995-96,24/01/1996,Zaragoza,Betis,1,2,A,0,1,A,False
252,1995-96,25/01/1996,Merida,Barcelona,0,0,D,0,0,D,False
253,1995-96,27/01/1996,Salamanca,La Coruna,0,5,A,0,3,A,False
254,1995-96,28/01/1996,Albacete,Espanol,0,0,D,0,0,D,False
255,1995-96,28/01/1996,Ath Madrid,Ath Bilbao,4,1,H,2,1,H,True
256,1995-96,28/01/1996,Barcelona,Zaragoza,3,1,H,1,0,H,True
257,1995-96,28/01/1996,Betis,Vallecano,0,0,D,0,0,D,False
258,1995-96,28/01/1996,Compostela,Valladolid,1,3,A,0,2,A,False
259,1995-96,28/01/1996,Oviedo,Real Madrid,1,2,A,1,1,D,False
260,1995-96,28/01/1996,Santander,Sp Gijon,1,1,D,1,1,D,False
261,1995-96,28/01/1996,Sociedad,Sevilla,1,0,H,1,0,H,False
262,1995-96,28/01/1996,Tenerife,Celta,1,0,H,1,0,H,False
263,1995-96,28/01/1996,Valencia,Merida,4,1,H,2,0,H,True
264,1995-96,3/2/1996,Sp Gijon,Ath Madrid,1,2,A,0,1,A,False
265,1995-96,3/2/1996,Zaragoza,Valencia,4,1,H,1,0,H,False
266,1995-96,4/2/1996,Ath Bilbao,Oviedo,0,1,A,0,1,A,False
267,1995-96,4/2/1996,Celta,Albacete,2,2,D,1,0,H,False
268,1995-96,4/2/1996,Espanol,Sociedad,0,0,D,0,0,D,False
269,1995-96,4/2/1996,La Coruna,Tenerife,1,1,D,0,1,A,False
270,1995-96,4/2/1996,Merida,Compostela,0,2,A,0,0,D,False
271,1995-96,4/2/1996,Real Madrid,Betis,4,2,H,2,2,D,True
272,1995-96,4/2/1996,Sevilla,Santander,0,1,A,0,1,A,True
273,1995-96,4/2/1996,Valladolid,Salamanca,1,0,H,0,0,D,False
274,1995-96,4/2/1996,Vallecano,Barcelona,1,1,D,1,0,H,False
275,1995-96,10/2/1996,Ath Madrid,Sevilla,0,1,A,0,0,D,True
276,1995-96,10/2/1996,Barcelona,Real Madrid,3,0,H,1,0,H,True
277,1995-96,10/2/1996,Valencia,Vallecano,3,0,H,2,0,H,True
278,1995-96,11/2/1996,Albacete,La Coruna,1,0,H,1,0,H,False
279,1995-96,11/2/1996,Betis,Oviedo,2,1,H,1,0,H,False
280,1995-96,11/2/1996,Compostela,Zaragoza,3,2,H,0,2,A,False
281,1995-96,11/2/1996,Salamanca,Merida,2,2,D,1,0,H,False
282,1995-96,11/2/1996,Santander,Espanol,1,1,D,1,0,H,False
283,1995-96,11/2/1996,Sociedad,Celta,3,1,H,1,0,H,False
284,1995-96,11/2/1996,Sp Gijon,Ath Bilbao,1,2,A,0,1,A,False
285,1995-96,11/2/1996,Tenerife,Valladolid,1,0,H,1,0,H,False
286,1995-96,17/02/1996,Real Madrid,Valencia,0,0,D,0,0,D,True
287,1995-96,17/02/1996,Zaragoza,Salamanca,1,1,D,1,1,D,False
288,1995-96,18/02/1996,Ath Bilbao,Betis,0,1,A,0,0,D,False
289,1995-96,18/02/1996,Celta,Santander,0,0,D,0,0,D,False
290,1995-96,18/02/1996,Espanol,Ath Madrid,0,2,A,0,1,A,False
291,1995-96,18/02/1996,La Coruna,Sociedad,1,1,D,0,1,A,False
292,1995-96,18/02/1996,Merida,Tenerife,2,0,H,2,0,H,False
293,1995-96,18/02/1996,Oviedo,Barcelona,1,2,A,1,1,D,False
294,1995-96,18/02/1996,Sevilla,Sp Gijon,2,0,H,0,0,D,True
295,1995-96,18/02/1996,Valladolid,Albacete,3,0,H,1,0,H,False
296,1995-96,18/02/1996,Vallecano,Compostela,0,1,A,0,1,A,False
297,1995-96,24/02/1996,Santander,La Coruna,2,1,H,1,0,H,False
298,1995-96,25/02/1996,Albacete,Merida,2,0,H,1,0,H,False
299,1995-96,25/02/1996,Ath Madrid,Celta,3,2,H,2,2,D,True
300,1995-96,25/02/1996,Barcelona,Betis,1,0,H,0,0,D,True
301,1995-96,25/02/1996,Compostela,Real Madrid,3,3,D,1,1,D,False
302,1995-96,25/02/1996,Salamanca,Vallecano,1,2,A,0,1,A,False
303,1995-96,25/02/1996,Sevilla,Ath Bilbao,1,1,D,1,0,H,True
304,1995-96,25/02/1996,Sociedad,Valladolid,1,0,H,0,0,D,False
305,1995-96,25/02/1996,Sp Gijon,Espanol,2,3,A,1,1,D,False
306,1995-96,25/02/1996,Tenerife,Zaragoza,1,2,A,1,1,D,False
307,1995-96,25/02/1996,Valencia,Oviedo,3,1,H,1,1,D,True
308,1995-96,2/3/1996,Ath Bilbao,Barcelona,0,0,D,0,0,D,False
309,1995-96,2/3/1996,Espanol,Sevilla,0,1,A,0,0,D,False
310,1995-96,2/3/1996,Merida,Sociedad,1,2,A,0,1,A,False
311,1995-96,2/3/1996,Real Madrid,Salamanca,5,0,H,2,0,H,True
312,1995-96,2/3/1996,Valladolid,Santander,3,1,H,1,0,H,False
313,1995-96,3/3/1996,Betis,Valencia,3,0,H,0,0,D,False
314,1995-96,3/3/1996,Celta,Sp Gijon,0,0,D,0,0,D,False
315,1995-96,3/3/1996,La Coruna,Ath Madrid,2,2,D,0,1,A,False
316,1995-96,3/3/1996,Oviedo,Compostela,3,1,H,1,1,D,False
317,1995-96,3/3/1996,Vallecano,Tenerife,2,4,A,0,1,A,False
318,1995-96,3/3/1996,Zaragoza,Albacete,3,1,H,1,1,D,False
319,1995-96,9/3/1996,Valencia,Barcelona,4,1,H,2,0,H,True
320,1995-96,10/3/1996,Albacete,Vallecano,1,2,A,1,1,D,False
321,1995-96,10/3/1996,Ath Madrid,Valladolid,0,2,A,0,0,D,True
322,1995-96,10/3/1996,Compostela,Betis,1,2,A,0,0,D,False
323,1995-96,10/3/1996,Espanol,Ath Bilbao,3,0,H,1,0,H,False
324,1995-96,10/3/1996,Salamanca,Oviedo,0,1,A,0,0,D,False
325,1995-96,10/3/1996,Santander,Merida,2,0,H,0,0,D,False
326,1995-96,10/3/1996,Sevilla,Celta,0,0,D,0,0,D,True
327,1995-96,10/3/1996,Sociedad,Zaragoza,3,1,H,1,1,D,False
328,1995-96,10/3/1996,Sp Gijon,La Coruna,1,1,D,1,0,H,False
329,1995-96,10/3/1996,Tenerife,Real Madrid,3,0,H,1,0,H,False
330,1995-96,16/03/1996,Barcelona,Compostela,1,0,H,1,0,H,True
331,1995-96,16/03/1996,Real Madrid,Albacete,2,0,H,1,0,H,True
332,1995-96,16/03/1996,Zaragoza,Santander,1,2,A,1,2,A,False
333,1995-96,17/03/1996,Ath Bilbao,Valencia,0,1,A,0,0,D,False
334,1995-96,17/03/1996,Betis,Salamanca,4,0,H,1,0,H,False
335,1995-96,17/03/1996,Celta,Espanol,4,2,H,4,0,H,False
336,1995-96,17/03/1996,La Coruna,Sevilla,3,2,H,2,1,H,False
337,1995-96,17/03/1996,Merida,Ath Madrid,0,1,A,0,0,D,False
338,1995-96,17/03/1996,Oviedo,Tenerife,1,3,A,0,1,A,False
339,1995-96,17/03/1996,Valladolid,Sp Gijon,1,0,H,0,0,D,False
340,1995-96,17/03/1996,Vallecano,Sociedad,2,0,H,1,0,H,False
341,1995-96,23/03/1996,Sp Gijon,Merida,3,1,H,1,1,D,False
342,1995-96,23/03/1996,Tenerife,Betis,1,2,A,1,0,H,False
343,1995-96,24/03/1996,Albacete,Oviedo,0,1,A,0,0,D,False
344,1995-96,24/03/1996,Ath Madrid,Zaragoza,1,1,D,1,1,D,True
345,1995-96,24/03/1996,Celta,Ath Bilbao,3,1,H,3,1,H,False
346,1995-96,24/03/1996,Compostela,Valencia,0,4,A,0,2,A,False
347,1995-96,24/03/1996,Espanol,La Coruna,0,0,D,0,0,D,False
348,1995-96,24/03/1996,Salamanca,Barcelona,1,3,A,1,3,A,False
